time	V(vin)
0.000000000000000e+000	3.000000e+000
1.000000000000000e-002	3.000000e+000
1.000976562500000e-002	3.159732e+000
1.001953125000000e-002	3.308078e+000
1.002929687500000e-002	3.445038e+000
1.003906250000000e-002	3.570611e+000
1.004882812500000e-002	3.684798e+000
1.005859375000000e-002	3.787598e+000
1.006835937500000e-002	3.879012e+000
1.008192212156599e-002	3.959952e+000
1.009545233602355e-002	3.997450e+000
1.011301157259381e-002	3.979186e+000
1.012713018447249e-002	3.910560e+000
1.014666143447249e-002	3.743200e+000
1.016619268447249e-002	3.506434e+000
1.018572393447249e-002	3.222373e+000
1.022478643447249e-002	2.620418e+000
1.024431768447249e-002	2.358739e+000
1.026384893447249e-002	2.156946e+000
1.028017325909311e-002	2.048106e+000
1.028715939344722e-002	2.020272e+000
1.029387040030345e-002	2.004632e+000
1.030125479757141e-002	2.000194e+000
1.030804315908956e-002	2.007971e+000
1.031908339110292e-002	2.044593e+000
1.033689507390563e-002	2.163289e+000
1.035642632390563e-002	2.367750e+000
1.037595757390563e-002	2.631256e+000
1.041502007390563e-002	3.233752e+000
1.043455132390563e-002	3.516476e+000
1.045408257390563e-002	3.750968e+000
1.047361382390563e-002	3.915329e+000
1.048996701461871e-002	3.987607e+000
1.050498519197183e-002	3.996936e+000
1.051411428023924e-002	3.975524e+000
1.052891007090823e-002	3.898648e+000
1.054844132090823e-002	3.724206e+000
1.056797257090823e-002	3.482131e+000
1.058750382090823e-002	3.195031e+000
1.062656632090823e-002	2.594704e+000
1.064609757090823e-002	2.337539e+000
1.066562882090823e-002	2.142241e+000
1.068086880943971e-002	2.044815e+000
1.068767979815804e-002	2.018668e+000
1.069449767088797e-002	2.003733e+000
1.070297830287146e-002	2.001094e+000
1.071084894321677e-002	2.014486e+000
1.072363258948015e-002	2.068115e+000
1.074316383948015e-002	2.221181e+000
1.076269508948015e-002	2.446980e+000
1.078222633948015e-002	2.724425e+000
1.082128883948015e-002	3.328207e+000
1.084082008948015e-002	3.598158e+000
1.086035133948015e-002	3.812248e+000
1.087988258948015e-002	3.950485e+000
1.089360902779434e-002	3.994965e+000
1.090728750372423e-002	3.993455e+000
1.091785638379759e-002	3.960921e+000
1.093492934596237e-002	3.853220e+000
1.095446059596237e-002	3.655868e+000
1.097399184596237e-002	3.397265e+000
1.101305434596237e-002	2.796377e+000
1.103258559596237e-002	2.510206e+000
1.105211684596237e-002	2.269776e+000
1.107164809596237e-002	2.097540e+000
1.108317256082896e-002	2.034731e+000
1.108940952109893e-002	2.013805e+000
1.109659274975629e-002	2.001432e+000
1.110473256629999e-002	2.002762e+000
1.111370338737231e-002	2.023077e+000
1.112824714409296e-002	2.096833e+000
1.114777839409296e-002	2.268653e+000
1.116730964409296e-002	2.508772e+000
1.118684089409296e-002	2.794766e+000
1.122590339409296e-002	3.395755e+000
1.124543464409296e-002	3.654624e+000
1.126496589409296e-002	3.852360e+000
1.128061063801214e-002	3.953977e+000
1.129426454595215e-002	3.995944e+000
1.131038045548033e-002	3.986736e+000
1.132287382509691e-002	3.936143e+000
1.134240507509691e-002	3.786239e+000
1.136193632509691e-002	3.562910e+000
1.138146757509691e-002	3.287013e+000
1.142053007509691e-002	2.683075e+000
1.144006132509691e-002	2.411436e+000
1.145959257509691e-002	2.194761e+000
1.147912382509691e-002	2.053286e+000
1.148637592821979e-002	2.022812e+000
1.149292317215232e-002	2.006172e+000
1.149957261768487e-002	2.000023e+000
1.150584114789612e-002	2.004206e+000
1.151550610205172e-002	2.029517e+000
1.153115282539378e-002	2.117360e+000
1.155068407539378e-002	2.300532e+000
1.157021532539378e-002	2.549026e+000
1.158974657539378e-002	2.839635e+000
1.162880907539378e-002	3.437244e+000
1.164834032539378e-002	3.688434e+000
